timestamp,event_type,source_ip,destination_ip,message
2024-04-26 08:30:00,INFO,192.168.10.56,172.16.6.141,Firewall rule triggered
2024-04-26 08:30:30,DEBUG,192.168.2.185,172.16.7.218,File upload successful
2024-04-26 08:31:00,DEBUG,192.168.5.222,172.16.7.244,Packet loss
2024-04-26 08:31:30,ERROR,192.168.5.225,172.16.5.57,High latency detected
2024-04-26 08:32:00,WARN,192.168.7.115,172.16.3.28,Data backup completed
2024-04-26 08:32:30,DEBUG,192.168.8.231,172.16.7.53,Connection reset
2024-04-26 08:33:00,DEBUG,192.168.8.222,172.16.10.107,Connection reset
2024-04-26 08:33:30,INFO,192.168.6.251,172.16.10.142,Data backup completed
2024-04-26 08:34:00,ERROR,192.168.3.101,172.16.2.185,Data transfer completed
2024-04-26 08:34:30,DEBUG,192.168.7.42,172.16.0.213,User login successful
2024-04-26 08:35:00,INFO,192.168.4.251,172.16.3.123,Data transfer completed
2024-04-26 08:35:30,ERROR,192.168.4.33,172.16.6.5,Memory usage high
2024-04-26 08:36:00,WARN,192.168.1.47,172.16.9.75,Connection established
2024-04-26 08:36:30,INFO,192.168.9.72,172.16.4.235,Connection reset
2024-04-26 08:37:00,WARN,192.168.8.99,172.16.3.73,Connection reset
2024-04-26 08:37:30,INFO,192.168.5.64,172.16.7.34,Memory usage high
2024-04-26 08:38:00,WARN,192.168.8.145,172.16.6.221,Password change requested
2024-04-26 08:38:30,WARN,192.168.6.214,172.16.0.181,Memory usage high
2024-04-26 08:39:00,WARN,192.168.7.2,172.16.5.58,User login successful
2024-04-26 08:39:30,DEBUG,192.168.10.119,172.16.9.63,Connection timeout
2024-04-26 08:40:00,ERROR,192.168.5.19,172.16.10.142,Data backup completed
2024-04-26 08:40:30,ERROR,192.168.6.89,172.16.1.188,Connection reset
2024-04-26 08:41:00,DEBUG,192.168.4.112,172.16.10.121,Data transfer completed
2024-04-26 08:41:30,DEBUG,192.168.9.122,172.16.0.28,Connection reset
2024-04-26 08:42:00,DEBUG,192.168.10.47,172.16.5.40,Connection established
2024-04-26 08:42:30,WARN,192.168.10.214,172.16.8.99,Connection timeout
2024-04-26 08:43:00,ERROR,192.168.7.177,172.16.1.42,High latency detected
2024-04-26 08:43:30,ERROR,192.168.1.84,172.16.10.109,Connection reset
2024-04-26 08:44:00,DEBUG,192.168.6.153,172.16.9.142,File not found
