;Flow ID;Src IP;Src Port;Dst IP;Dst Port;Timestamp;Flow Duration;Tot Fwd Pkts;Tot Bwd Pkts;TotLen Fwd Pkts;TotLen Bwd Pkts;Fwd Pkt Len Max;Fwd Pkt Len Min
1739476;172.31.69.25-18.219.193.20-80-37882-6;18.219.193.20;37882;172.31.69.25;80;16/02/2018 11:27:29 PM;8660;1;1;0.0;0.0;0.0;0.0
1822666;172.31.69.28-18.219.9.1-80-63287-6;172.31.69.28;80;18.219.9.1;63287;22/02/2018 12:13:52 AM;5829;4;3;935.0;298.0;935.0;0.0
905739;172.31.69.28-52.14.136.135-80-63095-6;52.14.136.135;63095;172.31.69.28;80;22/02/2018 12:14:02 AM;3396;1;1;0.0;0.0;0.0;0.0
1143064;172.31.69.28-18.216.200.189-80-52341-6;18.216.200.189;52341;172.31.69.28;80;22/02/2018 12:28:04 AM;2390;1;1;0.0;0.0;0.0;0.0
1934016;172.31.69.28-18.218.55.126-80-57459-6;172.31.69.28;80;18.218.55.126;57459;22/02/2018 12:19:45 AM;17362;4;3;935.0;314.0;935.0;0.0
1916750;172.31.69.28-18.219.9.1-80-56276-6;172.31.69.28;80;18.219.9.1;56276;22/02/2018 12:18:50 AM;201316;4;3;935.0;274.0;935.0;0.0
2170484;172.31.69.25-18.219.193.20-80-40594-6;172.31.69.25;80;18.219.193.20;40594;16/02/2018 11:17:42 PM;4265070;4;4;935.0;351.0;935.0;0.0
1891912;172.31.69.28-18.219.5.43-80-53734-6;172.31.69.28;80;18.219.5.43;53734;22/02/2018 12:17:29 AM;1461;4;3;935.0;339.0;935.0;0.0
262892;172.31.69.25-18.219.193.20-80-41228-6;18.219.193.20;41228;172.31.69.25;80;16/02/2018 11:16:29 PM;12708;1;1;0.0;0.0;0.0;0.0
170886;172.31.69.25-18.219.193.20-80-33826-6;18.219.193.20;33826;172.31.69.25;80;16/02/2018 11:15:48 PM;51238;1;1;0.0;0.0;0.0;0.0
847148;172.31.69.25-18.219.193.20-80-43072-6;18.219.193.20;43072;172.31.69.25;80;16/02/2018 11:20:48 PM;13813;1;1;0.0;0.0;0.0;0.0
3142101;172.31.69.25-18.219.193.20-80-56310-6;172.31.69.25;80;18.219.193.20;56310;16/02/2018 11:24:46 PM;4497448;4;4;935.0;309.0;935.0;0.0
2964667;172.31.69.25-18.219.193.20-80-41060-6;172.31.69.25;80;18.219.193.20;41060;16/02/2018 11:22:31 PM;61541276;4;5;935.0;338.0;935.0;0.0
2845398;172.31.69.25-18.219.193.20-80-48258-6;172.31.69.25;80;18.219.193.20;48258;16/02/2018 11:22:36 PM;4320844;4;4;935.0;374.0;935.0;0.0
1661439;172.31.69.25-18.219.193.20-80-41464-6;18.219.193.20;41464;172.31.69.25;80;16/02/2018 11:26:54 PM;483;1;1;0.0;0.0;0.0;0.0
1346670;172.31.69.28-18.218.55.126-80-64285-6;172.31.69.28;80;18.218.55.126;64285;21/02/2018 11:52:06 PM;1341;4;3;935.0;272.0;935.0;0.0
1700729;172.31.69.25-18.219.193.20-80-40198-6;18.219.193.20;40198;172.31.69.25;80;16/02/2018 11:27:12 PM;676;1;1;0.0;0.0;0.0;0.0
2585319;172.31.69.25-18.219.193.20-80-35928-6;172.31.69.25;80;18.219.193.20;35928;16/02/2018 11:20:42 PM;4383793;4;4;935.0;310.0;935.0;0.0
3151335;172.31.69.25-18.219.193.20-80-54882-6;172.31.69.25;80;18.219.193.20;54882;16/02/2018 11:24:51 PM;4136996;4;4;935.0;358.0;935.0;0.0
1006757;172.31.69.28-18.219.9.1-80-57282-6;18.219.9.1;57282;172.31.69.28;80;22/02/2018 12:19:22 AM;172168;1;1;0.0;0.0;0.0;0.0
1785875;172.31.69.28-18.218.11.51-80-56971-6;172.31.69.28;80;18.218.11.51;56971;22/02/2018 12:11:59 AM;9464;4;3;935.0;312.0;935.0;0.0
1302379;172.31.69.25-18.219.193.20-80-33398-6;18.219.193.20;33398;172.31.69.25;80;16/02/2018 11:24:12 PM;14991;1;1;0.0;0.0;0.0;0.0
1369917;172.31.69.25-18.219.193.20-80-56806-6;18.219.193.20;56806;172.31.69.25;80;16/02/2018 11:24:42 PM;49933;2;1;0.0;0.0;0.0;0.0
2714607;172.31.69.25-18.219.193.20-80-53088-6;172.31.69.25;80;18.219.193.20;53088;16/02/2018 11:21:38 PM;4359368;3;6;935.0;392.0;935.0;0.0
2829613;172.31.69.25-18.219.193.20-80-59798-6;172.31.69.25;80;18.219.193.20;59798;16/02/2018 11:22:29 PM;4434790;4;4;935.0;328.0;935.0;0.0
3153370;172.31.69.25-18.219.193.20-80-59788-6;172.31.69.25;80;18.219.193.20;59788;16/02/2018 11:24:51 PM;4486331;4;4;935.0;343.0;935.0;0.0
912919;172.31.69.28-18.219.9.1-80-64345-6;18.219.9.1;64345;172.31.69.28;80;22/02/2018 12:14:24 AM;1336;1;1;0.0;0.0;0.0;0.0
195563;172.31.69.25-18.219.9.1-80-53078-6;18.219.9.1;53078;172.31.69.25;80;20/02/2018 10:52:52;506205;3;4;20.0;964.0;20.0;0.0
446966;172.31.69.25-18.219.193.20-80-35644-6;18.219.193.20;35644;172.31.69.25;80;16/02/2018 11:17:50 PM;19912;1;1;0.0;0.0;0.0;0.0
1225684;172.31.69.25-18.219.193.20-80-60090-6;18.219.193.20;60090;172.31.69.25;80;16/02/2018 11:23:37 PM;937;1;1;0.0;0.0;0.0;0.0
1140861;172.31.69.28-18.218.11.51-80-51866-6;18.218.11.51;51866;172.31.69.28;80;22/02/2018 12:27:55 AM;1409;1;1;0.0;0.0;0.0;0.0
487072;172.31.69.25-18.216.200.189-80-53947-6;18.216.200.189;53947;172.31.69.25;80;20/02/2018 10:55:00;16939108;2;0;0.0;0.0;0.0;0.0
192201;172.31.69.25-18.219.193.20-80-59942-6;18.219.193.20;59942;172.31.69.25;80;16/02/2018 11:15:58 PM;3051;1;1;0.0;0.0;0.0;0.0
2865219;172.31.69.25-18.219.193.20-80-48132-6;172.31.69.25;80;18.219.193.20;48132;16/02/2018 11:22:45 PM;4103869;4;4;935.0;332.0;935.0;0.0
1569107;172.31.69.25-18.219.193.20-80-59544-6;18.219.193.20;59544;172.31.69.25;80;16/02/2018 11:26:12 PM;45476;2;1;0.0;0.0;0.0;0.0
3030366;172.31.69.25-18.219.193.20-80-55760-6;172.31.69.25;80;18.219.193.20;55760;16/02/2018 11:23:57 PM;4546642;4;4;935.0;380.0;935.0;0.0
1848798;172.31.69.25-18.219.193.20-80-39748-6;18.219.193.20;39748;172.31.69.25;80;16/02/2018 11:28:19 PM;393;1;1;0.0;0.0;0.0;0.0
337551;172.31.69.25-18.219.193.20-80-56450-6;18.219.193.20;56450;172.31.69.25;80;16/02/2018 11:17:02 PM;1139;1;1;0.0;0.0;0.0;0.0
322581;172.31.69.25-18.216.24.42-80-59061-6;18.216.24.42;59061;172.31.69.25;80;20/02/2018 10:31:47;37611146;2;0;0.0;0.0;0.0;0.0
